"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"1",0,0,NA,"none","none",150,0.100621965008821,0.0207866436561744
"1",0,20,7,"highest","centbet",150,0.0775122546858034,0.016373953112974
"1",0,20,7,"highest","centclos",150,0.0776172928630004,0.016883551270726
"1",0,20,7,"highest","centeigen",150,0.0790584853876649,0.0182807291143576
"1",0,20,7,"highest","cluscoeff",150,0.0831963616142406,0.0179823363478337
"1",0,20,7,"highest","degree",150,0.0772298070051714,0.0161493969045083
"1",0,20,7,"lowest","centbet",150,0.0848910440993919,0.0184723394261225
"1",0,20,7,"lowest","centclos",150,0.0865756241378904,0.0197531247268981
"1",0,20,7,"lowest","centeigen",150,0.0874384961820378,0.0204357039298399
"1",0,20,7,"lowest","cluscoeff",150,0.0840076179605811,0.0199783192610729
"1",0,20,7,"lowest","degree",150,0.0891794039114105,0.0186495005602596
"1",0,20,7,"random","none",150,0.0829617812038511,0.0217104844040057
"1",5,0,NA,"none","none",150,0.0648955079249628,0.014653637073717
"1",5,20,7,"highest","centbet",150,0.0549819544471592,0.0138874326864867
"1",5,20,7,"highest","centclos",150,0.0537840886660554,0.0129244349300072
"1",5,20,7,"highest","centeigen",150,0.055040260248862,0.0147823720944521
"1",5,20,7,"highest","cluscoeff",150,0.0567571108649679,0.0124694408096554
"1",5,20,7,"highest","degree",150,0.0533783859881892,0.0129165359304428
"1",5,20,7,"lowest","centbet",150,0.061731616426543,0.0157736690793715
"1",5,20,7,"lowest","centclos",150,0.058671483734463,0.0139589537017608
"1",5,20,7,"lowest","centeigen",150,0.0597387909287289,0.0126713688808469
"1",5,20,7,"lowest","cluscoeff",150,0.0571895641696402,0.0155630738574332
"1",5,20,7,"lowest","degree",150,0.0593877199887988,0.0145228358944216
"1",5,20,7,"random","none",150,0.0598512196556159,0.0144455626929015
"1",20,0,NA,"none","none",150,0.0325905568548865,0.00766605996780632
"1",20,20,7,"highest","centbet",150,0.0292453296304354,0.00752291138396729
"1",20,20,7,"highest","centclos",150,0.0294598203373205,0.00687396925729246
"1",20,20,7,"highest","centeigen",150,0.0294939400904198,0.00731808728726669
"1",20,20,7,"highest","cluscoeff",150,0.0293926316683558,0.00797694716570565
"1",20,20,7,"highest","degree",150,0.0313165964838973,0.00812246943971159
"1",20,20,7,"lowest","centbet",150,0.0303626837052538,0.00757673239184668
"1",20,20,7,"lowest","centclos",150,0.0308681743570475,0.0085252487863732
"1",20,20,7,"lowest","centeigen",150,0.0313832069028256,0.00768053287610934
"1",20,20,7,"lowest","cluscoeff",150,0.0305355158911188,0.00810338696778399
"1",20,20,7,"lowest","degree",150,0.0299749350897453,0.00806783331215315
"1",20,20,7,"random","none",150,0.0295601116218508,0.00764359961841855
"10",0,0,NA,"none","none",150,0.0985449988802886,0.0206633068983479
"10",0,20,7,"highest","centbet",150,0.0732957816475949,0.0161518384069887
"10",0,20,7,"highest","centclos",150,0.0779081121437808,0.018777361622666
"10",0,20,7,"highest","centeigen",150,0.076705008945883,0.0145579510967519
"10",0,20,7,"highest","cluscoeff",150,0.0811114242490212,0.0188265108285719
"10",0,20,7,"highest","degree",150,0.0767086239695156,0.0174918040139639
"10",0,20,7,"lowest","centbet",150,0.0880579100740277,0.0196364061226045
"10",0,20,7,"lowest","centclos",150,0.0865605998986177,0.0195119663364812
"10",0,20,7,"lowest","centeigen",150,0.0859016105011766,0.0197498464437804
"10",0,20,7,"lowest","cluscoeff",150,0.0831850730697223,0.0188085859791518
"10",0,20,7,"lowest","degree",150,0.0849865995032311,0.0197257428733313
"10",0,20,7,"random","none",150,0.0776063721436208,0.0171511966080896
"10",5,0,NA,"none","none",150,0.0657520952096041,0.0155614753093876
"10",5,20,7,"highest","centbet",150,0.0528514222033718,0.0123546483896921
"10",5,20,7,"highest","centclos",150,0.0535938765480483,0.0142626572457579
"10",5,20,7,"highest","centeigen",150,0.0526711394770436,0.0127554783786451
"10",5,20,7,"highest","cluscoeff",150,0.056706415109044,0.0126205522610886
"10",5,20,7,"highest","degree",150,0.0548985409496384,0.014491984088743
"10",5,20,7,"lowest","centbet",150,0.0585586211289461,0.0137689926089881
"10",5,20,7,"lowest","centclos",150,0.0582397052089036,0.0142076463689902
"10",5,20,7,"lowest","centeigen",150,0.0589990872723732,0.0135244125036457
"10",5,20,7,"lowest","cluscoeff",150,0.0585540473896263,0.0132319601557786
"10",5,20,7,"lowest","degree",150,0.0597957265553606,0.0138010540855581
"10",5,20,7,"random","none",150,0.0571568681540813,0.0142062186950446
"10",20,0,NA,"none","none",150,0.0342666659817513,0.00937828901375078
"10",20,20,7,"highest","centbet",150,0.0301969161968723,0.00900052102868625
"10",20,20,7,"highest","centclos",150,0.03031823695864,0.00835332189966168
"10",20,20,7,"highest","centeigen",150,0.030096468639019,0.00730032729075117
"10",20,20,7,"highest","cluscoeff",150,0.0315629680945757,0.00877676760768443
"10",20,20,7,"highest","degree",150,0.0310937515616147,0.00782045002362291
"10",20,20,7,"lowest","centbet",150,0.0291572788681076,0.00698159177732166
"10",20,20,7,"lowest","centclos",150,0.0313351412895736,0.0088611469365305
"10",20,20,7,"lowest","centeigen",150,0.0308003759896518,0.00823346837905062
"10",20,20,7,"lowest","cluscoeff",150,0.0304370406948251,0.00812209195314417
"10",20,20,7,"lowest","degree",150,0.0304713448303669,0.00796521057662473
"10",20,20,7,"random","none",150,0.0303198736936796,0.00744878463013049
"2",0,0,NA,"none","none",150,0.0948574213070355,0.020009635546501
"2",0,20,7,"highest","centbet",150,0.0757433980240757,0.0149327317284507
"2",0,20,7,"highest","centclos",150,0.0769536114428248,0.0164263863672962
"2",0,20,7,"highest","centeigen",150,0.0791017117398102,0.0175959477101046
"2",0,20,7,"highest","cluscoeff",150,0.0813049562823141,0.0170333288779106
"2",0,20,7,"highest","degree",150,0.0756200736332099,0.0153278450400313
"2",0,20,7,"lowest","centbet",150,0.0860522077788161,0.0205980223679055
"2",0,20,7,"lowest","centclos",150,0.0869540751001812,0.0200362343376893
"2",0,20,7,"lowest","centeigen",150,0.0833147939803796,0.017781840393542
"2",0,20,7,"lowest","cluscoeff",150,0.0844498356732776,0.0187391959769549
"2",0,20,7,"lowest","degree",150,0.0842522424220385,0.0179161337989083
"2",0,20,7,"random","none",150,0.080836359945261,0.0166575414491573
"2",5,0,NA,"none","none",150,0.0663790653476665,0.0156851030375745
"2",5,20,7,"highest","centbet",150,0.0542069263887856,0.0129034555443132
"2",5,20,7,"highest","centclos",150,0.0540180949360996,0.0140848095105681
"2",5,20,7,"highest","centeigen",150,0.0540127393388371,0.0123192754588399
"2",5,20,7,"highest","cluscoeff",150,0.0559115985915691,0.0144868392751423
"2",5,20,7,"highest","degree",150,0.0542715062722269,0.0134394945234338
"2",5,20,7,"lowest","centbet",150,0.0569746135086845,0.0153552308749787
"2",5,20,7,"lowest","centclos",150,0.0592857366338763,0.0163413606209553
"2",5,20,7,"lowest","centeigen",150,0.0598583692587844,0.0167832329170644
"2",5,20,7,"lowest","cluscoeff",150,0.059393524301761,0.0155837236941073
"2",5,20,7,"lowest","degree",150,0.0571722449892266,0.0146886502386009
"2",5,20,7,"random","none",150,0.0542898464844232,0.0137379313872337
"2",20,0,NA,"none","none",150,0.0335367314121339,0.00819166515070717
"2",20,20,7,"highest","centbet",150,0.0294567278787053,0.00760707633926706
"2",20,20,7,"highest","centclos",150,0.0294915250768597,0.00857295162168868
"2",20,20,7,"highest","centeigen",150,0.0301822529127247,0.00832444794502913
"2",20,20,7,"highest","cluscoeff",150,0.0307059348967797,0.00733109088027754
"2",20,20,7,"highest","degree",150,0.030248908777002,0.0077383700035365
"2",20,20,7,"lowest","centbet",150,0.0301572169199668,0.0084528668637986
"2",20,20,7,"lowest","centclos",150,0.0299241922190991,0.00820139353241505
"2",20,20,7,"lowest","centeigen",150,0.0304778397005875,0.0086474002458319
"2",20,20,7,"lowest","cluscoeff",150,0.0307053017469309,0.00826667456208817
"2",20,20,7,"lowest","degree",150,0.0304103672516895,0.00889888737943669
"2",20,20,7,"random","none",150,0.0284093884436075,0.00698879976186936
"3",0,0,NA,"none","none",150,0.101411988318138,0.0209177398520476
"3",0,20,7,"highest","centbet",150,0.0792541203521937,0.0158501586680152
"3",0,20,7,"highest","centclos",150,0.0790799120178536,0.0186772838296356
"3",0,20,7,"highest","centeigen",150,0.0800158155993954,0.0173432960222215
"3",0,20,7,"highest","cluscoeff",150,0.0822372893405932,0.0174020520879678
"3",0,20,7,"highest","degree",150,0.0818206712998172,0.0185029259077643
"3",0,20,7,"lowest","centbet",150,0.0839402245224137,0.0192642175644924
"3",0,20,7,"lowest","centclos",150,0.0847946899555024,0.0196331595441013
"3",0,20,7,"lowest","centeigen",150,0.0881103250068807,0.0198462340274133
"3",0,20,7,"lowest","cluscoeff",150,0.0831881161167893,0.0201620501527321
"3",0,20,7,"lowest","degree",150,0.0872942625859812,0.0182405336270026
"3",0,20,7,"random","none",150,0.081680531237997,0.0202833231720054
"3",5,0,NA,"none","none",150,0.0681265070604888,0.0158894066562
"3",5,20,7,"highest","centbet",150,0.0574252590058416,0.0145538752482563
"3",5,20,7,"highest","centclos",150,0.0554384409555077,0.0110773176793602
"3",5,20,7,"highest","centeigen",150,0.0554597517006661,0.0131740045449125
"3",5,20,7,"highest","cluscoeff",150,0.0568934363402174,0.0138069727566229
"3",5,20,7,"highest","degree",150,0.0545489341840372,0.0127647222813746
"3",5,20,7,"lowest","centbet",150,0.0571745414311105,0.0144600114517494
"3",5,20,7,"lowest","centclos",150,0.0595471523376377,0.0133833758301088
"3",5,20,7,"lowest","centeigen",150,0.0586151206243614,0.0124240191501432
"3",5,20,7,"lowest","cluscoeff",150,0.0562796384214967,0.0137398620555642
"3",5,20,7,"lowest","degree",150,0.0583944350940843,0.0148621384915381
"3",5,20,7,"random","none",150,0.056259658855468,0.0137887478320074
"3",20,0,NA,"none","none",150,0.0324436401350995,0.00787511172174782
"3",20,20,7,"highest","centbet",150,0.0295195009402447,0.00801307509425443
"3",20,20,7,"highest","centclos",150,0.0298816388465136,0.00742840895774534
"3",20,20,7,"highest","centeigen",150,0.0306639762436488,0.00821472610585602
"3",20,20,7,"highest","cluscoeff",150,0.0300062793040564,0.00903299453784619
"3",20,20,7,"highest","degree",150,0.0291239131141468,0.00736820729319019
"3",20,20,7,"lowest","centbet",150,0.0313746224075741,0.00810319365474019
"3",20,20,7,"lowest","centclos",150,0.0303982172629629,0.00891294914461354
"3",20,20,7,"lowest","centeigen",150,0.0311150157118592,0.00809267700086528
"3",20,20,7,"lowest","cluscoeff",150,0.03067114213073,0.00889805887661532
"3",20,20,7,"lowest","degree",150,0.0330900069071617,0.00909616930618325
"3",20,20,7,"random","none",150,0.030683187756513,0.00712246137032092
"4",0,0,NA,"none","none",150,0.10044486071294,0.021743876244732
"4",0,20,7,"highest","centbet",150,0.0775703992102117,0.0182064554736424
"4",0,20,7,"highest","centclos",150,0.0772831550603395,0.0170122616729045
"4",0,20,7,"highest","centeigen",150,0.0756127314023981,0.0163594327600085
"4",0,20,7,"highest","cluscoeff",150,0.0842821918288633,0.0190692385768185
"4",0,20,7,"highest","degree",150,0.0764770063059313,0.0164296689867968
"4",0,20,7,"lowest","centbet",150,0.0866025379152877,0.019814924130456
"4",0,20,7,"lowest","centclos",150,0.088129226560137,0.0154561573863206
"4",0,20,7,"lowest","centeigen",150,0.0881122425437663,0.0223771054393488
"4",0,20,7,"lowest","cluscoeff",150,0.0800199628806957,0.0182475131857723
"4",0,20,7,"lowest","degree",150,0.0883896139721488,0.0210017077651902
"4",0,20,7,"random","none",150,0.0807896088803899,0.0192266062761538
"4",5,0,NA,"none","none",150,0.396151292676127,0.0317669766167311
"4",5,20,7,"highest","centbet",150,0.328401761462326,0.0285372615629759
"4",5,20,7,"highest","centclos",150,0.3290726942509,0.026249387621464
"4",5,20,7,"highest","centeigen",150,0.329895898004925,0.0241017132888808
"4",5,20,7,"highest","cluscoeff",150,0.342253180828278,0.0267166836614301
"4",5,20,7,"highest","degree",150,0.331196757133712,0.0286515386718957
"4",5,20,7,"lowest","centbet",150,0.355595027332961,0.0286597250383192
"4",5,20,7,"lowest","centclos",150,0.353464880070254,0.0306817762100212
