"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","neighbors","where_bias","level_bias","who_biased","percent_bias","bet_biased","bet_unbiased","clus_biased","clus_unbiased","eigen_biased","eigen_unbiased","clos_biased","close_unbiased","assor_biased","assor_unbiased","deg_biased","deg_unbiased","old_rep_id","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
1,150,0.0798064757166924,"2.283579418344519",0.564499524414543,0.00636501864344868,0,11.8266666666667,7,"highest","degree",20,"168.21691272330543","77.47910515250702","0.0911345356856193","0.0769744607244607","0.7505711421411796","0.4668147717532868","0.4710831778291885","0.43161687625599254","0.9090545257449729","0.92185549192755","16.533333333333335","10.65",8,0.000156876202557072,2.13375390628051,0.00653493804379465,2.13384331945373,0.00654333088299691,35494,10149.3523448609,0.288863141977625,0.00527421059318408,5.90928235436068,0.0185550514977415,7,0,0.00249402545804141,0.0698212242583423
2,150,0.0717467554805016,"2.2831319910514543",0.553427013001512,0.00407471685011085,0,11.8,7,"highest","degree",20,"171.23914241564506","76.68188106275538","0.07952243319116384","0.06980283605283602","0.7001133449917208","0.4380497610908227","0.4714479483215507","0.4312185701272087","0.9056667774461741","0.9251582551953964","16.3","10.675",3,0.000148019415623394,2.16751328108021,0.00540833258780667,2.16758132272665,0.00541139185366001,35414,9221.44043836912,0.271470305768044,0.00408843348941251,5.58957625933522,0.0202222654807398,7,0,0.00241650527364528,0.0628341724930402
3,150,0.0834537340311333,"2.2595078299776286",0.588980416207158,-0.0291356679255087,0,12.2266666666667,7,"highest","degree",20,"175.13789710079251","73.50719239146852","0.08534059822759513","0.08298201798201799","0.7832374144516355","0.4967999430184278","0.47667524310336423","0.43578676473324945","0.9050729996814258","0.9195688350873232","17.133333333333333","11",4,0.00013471119497003,2.11445223885809,0.00558794365392938,2.11454485667158,0.0055886421760272,36694,10098.2800050505,0.305907281273823,0.00391344722306507,5.59473578424157,0.0216308671074176,7,0,0.00229697778121511,0.0754788061870552
4,150,0.0681417139791753,"2.30076062639821",0.554837996238437,-0.0350133588102313,0,11.5866666666667,7,"highest","degree",20,"177.51504639565118","76.75457173442058","0.0649152891025956","0.06894832019832017","0.7935619420925707","0.5118557939091721","0.46643173416905354","0.4284855180508329","0.9089615710976786","0.9217266341316372","16.133333333333333","10.45",7,0.000143710183704969,2.09722206491683,0.00732606847333797,2.09732758354341,0.00732263540388876,34774,9751.17876199191,0.322003899392013,0.00481810768767521,6.23896893952297,0.0226583988642975,7,0,0.00238519706179247,0.0801533944234048
5,150,0.0831896169419389,"2.2826845637583895",0.58616915010642,-0.0614389090063906,0,11.7466666666667,7,"highest","degree",20,"181.5983737010723","74.05040657473192","0.08117341493502486","0.08369366744366738","0.8035688191036182","0.5008430389642897","0.47349729237516175","0.43126562019916104","0.8974030155058977","0.9143893129057338","16.666666666666668","10.516666666666667",6,0.0001492279040229,2.14597589934187,0.005374731929044,2.14605598560775,0.00537425307703032,35254,10299.8930078499,0.296603654494912,0.00402231978533559,5.77775175546637,0.0245747778495816,7,0,0.0024217428421647,0.0699515608789448
6,150,0.0762207917068598,"2.2393736017897092",0.531337683117813,0.0324328716369382,0,12.52,7,"highest","degree",20,"159.73976177691958","75.48172622243675","0.08086752829786885","0.07505910755910748","0.833694553767227","0.5335239304867262","0.4801538137682514","0.43982899752633753","0.918583670941818","0.9327509602824718","16.966666666666665","11.408333333333333",1,0.00011851614905717,2.14574452224136,0.00375061119549008,2.14581739975278,0.00374845721485369,37574,9369.01132213866,0.292340692476026,0.00296308602991408,5.89920014609145,0.0210903127466247,7,0,0.00214174240232354,0.0691348721409851
7,150,0.0819078492313786,"2.264519015659955",0.559639685354409,-0.0165435045448341,0,12.0933333333333,7,"highest","degree",20,"181.6023803643017","72.35773824225794","0.0771483037659508","0.0830977355977355","0.757881422796823","0.46063697168938533","0.4803458887503101","0.4340208209896189","0.8893364912996494","0.911691089657393","17.3","10.791666666666666",5,0.000131687690250336,2.12189072599584,0.00629148561006389,2.12198177051999,0.00629571640283594,36294,10635.8244821973,0.306228963516928,0.00438896510131208,6.00887661447429,0.0228641298678401,7,0,0.00228105337224266,0.0744078176212487
8,150,0.0788347905964004,"2.273646532438479",0.519209015181493,0.00667520099092739,0,11.96,7,"highest","degree",20,"168.0682202512271","76.59127827052657","0.07211656592461546","0.0805143467643467","0.80321107931058","0.5342645918926962","0.47037932310127856","0.4339544877668037","0.9186999235810516","0.9282766919395543","16.3","10.875",2,0.000142535503102262,2.1862462329921,0.00462697088152274,2.18630324279061,0.00462648889611463,35894,9573.96974323062,0.264508793289964,0.0041275668276978,5.76002142454349,0.0176596779409896,7,0,0.00237616035803103,0.0589052428869668
9,150,0.0759165177214712,"2.2819686800894856",0.558127002614554,0.00703448637706233,0,11.76,7,"highest","degree",20,"174.62334401735865","75.72749732899366","0.07651047553524334","0.07576802826802818","0.7130728996989898","0.4370142283402151","0.4732501625017115","0.43144730636635314","0.9083750309126782","0.9245889301186226","16.5","10.575",9,0.000136240152682677,2.1710641442254,0.00351673074526782,2.17113185429919,0.00351550054242464,35294,10154.9451040916,0.269618086943281,0.00313902055616856,5.84797125436505,0.0278901557592928,7,0,0.0023096728858149,0.062130858976156
10,150,0.0717569016810502,"2.3435346756152127",0.561887581903965,-0.0154180556954211,0,10.92,7,"highest","degree",20,"184.66021519732422","78.95161286733558","0.06465548927623231","0.07353225478225475","0.7605269501996633","0.4693280909597553","0.46039752844834375","0.4200033113077328","0.9002325886748965","0.9221868997489615","15.266666666666667","9.833333333333334",11,0.00017603719473454,2.05282172067134,0.00929932232591357,2.05295414332658,0.00929772812387122,32774,9178.69491095855,0.358228267977768,0.00599133860875588,5.826418776031,0.0260784385635101,7,0,0.00262880424453173,0.0914990181369276
