"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"1",0,0,NA,"none","none",150,0.100411674771838,0.0416550514591888
"1",0,20,7,"highest","centbet",150,0.0711804589981883,0.0314624085252361
"1",0,20,7,"highest","centclos",150,0.0759763661329368,0.0368149421140604
"1",0,20,7,"highest","centeigen",150,0.0775131017469757,0.0399016954529352
"1",0,20,7,"highest","cluscoeff",150,0.0816831741756319,0.0373564021090428
"1",0,20,7,"highest","degree",150,0.0695683226140438,0.0305523019699678
"1",0,20,7,"lowest","centbet",150,0.0858857470598427,0.0382895200152593
"1",0,20,7,"lowest","centclos",150,0.0836523723351356,0.0400022171817567
"1",0,20,7,"lowest","centeigen",150,0.0864680101866337,0.0403670447324503
"1",0,20,7,"lowest","cluscoeff",150,0.0846568824031053,0.0363036217272099
"1",0,20,7,"lowest","degree",150,0.0855372196580814,0.0370519667060048
"1",0,20,7,"random","none",150,0.0796698083372731,0.0356867058698114
"1",5,0,NA,"none","none",150,0.0660905116460644,0.0301028632067636
"1",5,20,7,"highest","centbet",150,0.0507588179545547,0.023068371208632
"1",5,20,7,"highest","centclos",150,0.0536904541379953,0.0263582231301273
"1",5,20,7,"highest","centeigen",150,0.0542768022433102,0.0274530196377728
"1",5,20,7,"highest","cluscoeff",150,0.0572447346915636,0.0252317507974677
"1",5,20,7,"highest","degree",150,0.0507461428013919,0.0216398397567444
"1",5,20,7,"lowest","centbet",150,0.0582313816181597,0.0262970859354612
"1",5,20,7,"lowest","centclos",150,0.0603390108971545,0.0277676705328113
"1",5,20,7,"lowest","centeigen",150,0.0597998455435409,0.029120789806695
"1",5,20,7,"lowest","cluscoeff",150,0.0541804784262108,0.025461903220855
"1",5,20,7,"lowest","degree",150,0.0582668999715082,0.0275709830663233
"1",5,20,7,"random","none",150,0.0575315679893093,0.0277001146639304
"1",20,0,NA,"none","none",150,0.0330591376637891,0.0158416465322609
"1",20,20,7,"highest","centbet",150,0.0276774423339581,0.0135257958729697
"1",20,20,7,"highest","centclos",150,0.029147534481412,0.0143804849711515
"1",20,20,7,"highest","centeigen",150,0.0294635988221421,0.0148256947834773
"1",20,20,7,"highest","cluscoeff",150,0.0297859777205566,0.0144310871181301
"1",20,20,7,"highest","degree",150,0.0286062065819211,0.0133945206429698
"1",20,20,7,"lowest","centbet",150,0.0308670432492743,0.0151296699322302
"1",20,20,7,"lowest","centclos",150,0.0302184976148302,0.0145193262080837
"1",20,20,7,"lowest","centeigen",150,0.0296836487663569,0.0144621658466631
"1",20,20,7,"lowest","cluscoeff",150,0.0302853861894604,0.0152733784370522
"1",20,20,7,"lowest","degree",150,0.0308480673827375,0.014712107453439
"1",20,20,7,"random","none",150,0.0288648102961994,0.0134303936993984
"10",0,0,NA,"none","none",150,0.100154943535561,0.0412625236658873
"10",0,20,7,"highest","centbet",150,0.0702337616968152,0.0296569538630065
"10",0,20,7,"highest","centclos",150,0.0750712132045347,0.0360989954468023
"10",0,20,7,"highest","centeigen",150,0.0794267405411049,0.0381185282491078
"10",0,20,7,"highest","cluscoeff",150,0.0780521857151106,0.0347043866286569
"10",0,20,7,"highest","degree",150,0.0685521051198292,0.0298853320063704
"10",0,20,7,"lowest","centbet",150,0.0866348942113915,0.0382113572197959
"10",0,20,7,"lowest","centclos",150,0.085437903971155,0.0398844188452511
"10",0,20,7,"lowest","centeigen",150,0.0853562520779219,0.0384186622558281
"10",0,20,7,"lowest","cluscoeff",150,0.0791167333893268,0.0342447086966261
"10",0,20,7,"lowest","degree",150,0.0844687185676785,0.0381748056019443
"10",0,20,7,"random","none",150,0.0811130513393855,0.0364805158573787
"10",5,0,NA,"none","none",150,0.0674888914681301,0.0296888080821057
"10",5,20,7,"highest","centbet",150,0.0516937814738048,0.023473077017661
"10",5,20,7,"highest","centclos",150,0.0542264215963465,0.0261580319929435
"10",5,20,7,"highest","centeigen",150,0.055335544611789,0.0277585599471943
"10",5,20,7,"highest","cluscoeff",150,0.0564867641937683,0.0261144150767234
"10",5,20,7,"highest","degree",150,0.0518348770258694,0.0228176271876103
"10",5,20,7,"lowest","centbet",150,0.060334690860177,0.0270208956773783
"10",5,20,7,"lowest","centclos",150,0.0591959376055408,0.0284005370530964
"10",5,20,7,"lowest","centeigen",150,0.0613567093480246,0.0298374607569993
"10",5,20,7,"lowest","cluscoeff",150,0.0570901380939164,0.0264276466940549
"10",5,20,7,"lowest","degree",150,0.0607827393949688,0.0282092604961831
"10",5,20,7,"random","none",150,0.0573752344714866,0.0256862987812588
"10",20,0,NA,"none","none",150,0.0338532228135861,0.0160553187482494
"10",20,20,7,"highest","centbet",150,0.0283570478818026,0.0130448265819861
"10",20,20,7,"highest","centclos",150,0.0290925446175114,0.0142984325115467
"10",20,20,7,"highest","centeigen",150,0.0291217532240307,0.0140596595459798
"10",20,20,7,"highest","cluscoeff",150,0.0312260427630417,0.0150122040972986
"10",20,20,7,"highest","degree",150,0.0291430238646976,0.0141319346075413
