"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","mean_cond","std_cond"
"1",0,0,4,"random","degree",150,0.100411674771838,0.0416550514591888
"1",0,0,NA,"none","none",150,0.100411674771838,0.0416550514591888
"1",0,20,7,"random","none",150,0.0796698083372731,0.0356867058698114
"1",5,0,4,"random","degree",150,0.0660905116460644,0.0301028632067636
"1",5,0,NA,"none","none",150,0.0660905116460644,0.0301028632067636
"1",5,20,7,"random","none",150,0.0575315679893093,0.0277001146639304
"1",20,0,4,"random","degree",150,0.0330591376637891,0.0158416465322609
"1",20,0,NA,"none","none",150,0.0330591376637891,0.0158416465322609
"1",20,20,7,"random","none",150,0.0288648102961994,0.0134303936993984
"10",0,0,4,"random","degree",150,0.100154943535561,0.0412625236658873
"10",0,0,NA,"none","none",150,0.100154943535561,0.0412625236658873
"10",0,20,7,"random","none",150,0.0811130513393855,0.0364805158573787
"10",5,0,4,"random","degree",150,0.0674888914681301,0.0296888080821057
"10",5,0,NA,"none","none",150,0.0674888914681301,0.0296888080821057
"10",5,20,7,"random","none",150,0.0573752344714866,0.0256862987812588
"10",20,0,4,"random","degree",150,0.0338532228135861,0.0160553187482494
"10",20,0,NA,"none","none",150,0.0338532228135861,0.0160553187482494
"10",20,20,7,"random","none",150,0.0300234170874613,0.0145804692981723
"2",0,0,4,"random","degree",150,0.0968928857283011,0.0404102163753373
"2",0,0,NA,"none","none",150,0.0968928857283011,0.0404102163753373
"2",0,20,7,"random","none",150,0.0825188554642645,0.0362877849370966
"2",5,0,4,"random","degree",150,0.0660928242413195,0.0292903427036658
"2",5,0,NA,"none","none",150,0.0660928242413195,0.0292903427036658
"2",5,20,7,"random","none",150,0.0570152626868082,0.0274993897119317
"2",20,0,4,"random","degree",150,0.0332555200863402,0.0161310689475592
"2",20,0,NA,"none","none",150,0.0332555200863402,0.0161310689475592
"2",20,20,7,"random","none",150,0.0299353755028117,0.0144659041854032
"3",0,0,4,"random","degree",150,0.0988209945096204,0.0405895529380805
"3",0,0,NA,"none","none",150,0.0988209945096204,0.0405895529380805
"3",0,20,7,"random","none",150,0.0817297523523634,0.036908461693276
"3",5,0,4,"random","degree",150,0.0647555279627259,0.0275912191680537
"3",5,0,NA,"none","none",150,0.0647555279627259,0.0275912191680537
"3",5,20,7,"random","none",150,0.0550727269738949,0.0253772387581805
"3",20,0,4,"random","degree",150,0.0339762696063414,0.0152745335460224
"3",20,0,NA,"none","none",150,0.0339762696063414,0.0152745335460224
"3",20,20,7,"random","none",150,0.0295683561610916,0.0144881192444707
"4",0,0,4,"random","degree",150,0.0999145629256604,0.0412622504753326
"4",0,0,NA,"none","none",150,0.0999145629256604,0.0412622504753326
