"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","rewire","mean_cond","std_cond"
"1",0,0,NA,"none","none",150,0.1,0.100907696257126,0.0351583449323212
"1",0,0,NA,"none","none",150,0.9,0.100384898212465,0.0200958442815995
"1",0,20,7,"highest","centbet",150,0.1,0.0820680464385612,0.0319101420366323
"1",0,20,7,"highest","centbet",150,0.9,0.0753967107721199,0.0148986994015164
"1",0,20,7,"highest","centclos",150,0.1,0.0827509776889843,0.0342577823297835
"1",0,20,7,"highest","centclos",150,0.9,0.0795299383636568,0.0180674867304557
"1",0,20,7,"highest","centeigen",150,0.1,0.0849143044181319,0.0353964368310365
"1",0,20,7,"highest","centeigen",150,0.9,0.0783065537933672,0.0168306764989602
"1",0,20,7,"highest","cluscoeff",150,0.1,0.0832003788461565,0.0309024976084425
"1",0,20,7,"highest","cluscoeff",150,0.9,0.0803523199486557,0.0158414581722456
"1",0,20,7,"highest","degree",150,0.1,0.079000133258666,0.0304912187528546
"1",0,20,7,"highest","degree",150,0.9,0.0759467746729172,0.0153636250960862
"1",0,20,7,"lowest","centbet",150,0.1,0.0848160507059677,0.0318466026902918
"1",0,20,7,"lowest","centbet",150,0.9,0.0842679288682504,0.0168926005688585
"1",0,20,7,"lowest","centclos",150,0.1,0.0848025761955563,0.0347072502478679
"1",0,20,7,"lowest","centclos",150,0.9,0.0858426437421369,0.0190595562464198
"1",0,20,7,"lowest","centeigen",150,0.1,0.0842423791476665,0.033519142461969
"1",0,20,7,"lowest","centeigen",150,0.9,0.0860458829614522,0.0166677461669631
"1",0,20,7,"lowest","cluscoeff",150,0.1,0.0817318166265844,0.0332544777164066
"1",0,20,7,"lowest","cluscoeff",150,0.9,0.0819605878995261,0.0164428116348427
"1",0,20,7,"lowest","degree",150,0.1,0.0810405332696819,0.0300877737843586
"1",0,20,7,"lowest","degree",150,0.9,0.0848150731008271,0.017810521208341
"1",0,20,7,"random","none",150,0.1,0.0822830437335586,0.0312978680518446
"1",0,20,7,"random","none",150,0.9,0.0809441839212316,0.0162989954837724
"1",5,0,NA,"none","none",150,0.1,0.0666128671853109,0.0244741452446565
"1",5,0,NA,"none","none",150,0.9,0.0665926938916565,0.0136014250123946
"1",5,20,7,"highest","centbet",150,0.1,0.0564061789764399,0.023186014799916
"1",5,20,7,"highest","centbet",150,0.9,0.0544942655425606,0.0116474040761411
"1",5,20,7,"highest","centclos",150,0.1,0.0574472620800416,0.0240658172150884
"1",5,20,7,"highest","centclos",150,0.9,0.0564062713346883,0.0131524021274113
"1",5,20,7,"highest","centeigen",150,0.1,0.0570712499870326,0.0244979527538069
"1",5,20,7,"highest","centeigen",150,0.9,0.0549338616076386,0.0118817940413091
"1",5,20,7,"highest","cluscoeff",150,0.1,0.0585231640878231,0.0219756531189546
"1",5,20,7,"highest","cluscoeff",150,0.9,0.0564193209163747,0.0120801044434586
"1",5,20,7,"highest","degree",150,0.1,0.0570718504749924,0.023698617230639
"1",5,20,7,"highest","degree",150,0.9,0.0542584021169682,0.0127441181416407
"1",5,20,7,"lowest","centbet",150,0.1,0.0563824459508125,0.0221574368133939
"1",5,20,7,"lowest","centbet",150,0.9,0.0600905788587363,0.0135359471057604
"1",5,20,7,"lowest","centclos",150,0.1,0.0573323034131564,0.0226093090502804
"1",5,20,7,"lowest","centclos",150,0.9,0.059491662863234,0.0130282438915994
"1",5,20,7,"lowest","centeigen",150,0.1,0.0589861025749785,0.024648935719972
"1",5,20,7,"lowest","centeigen",150,0.9,0.0589881179263015,0.0134870392497733
"1",5,20,7,"lowest","cluscoeff",150,0.1,0.0559956387106596,0.0231718640283322
"1",5,20,7,"lowest","cluscoeff",150,0.9,0.058974875980639,0.0123656509131758
"1",5,20,7,"lowest","degree",150,0.1,0.0581562716045528,0.0215165315051834
"1",5,20,7,"lowest","degree",150,0.9,0.058309109119827,0.0128323266226325
"1",5,20,7,"random","none",150,0.1,0.0578265288981366,0.0227110695729603
"1",5,20,7,"random","none",150,0.9,0.0573009586426075,0.0124257660353644
"1",20,0,NA,"none","none",150,0.1,0.032719504701224,0.013926630671432
"1",20,0,NA,"none","none",150,0.9,0.0328105025408563,0.00807526489556852
"1",20,20,7,"highest","centbet",150,0.1,0.0298415232869573,0.0129222951052498
"1",20,20,7,"highest","centbet",150,0.9,0.0296261817251619,0.00756183831790181
"1",20,20,7,"highest","centclos",150,0.1,0.0305481471702658,0.0135868496093371
"1",20,20,7,"highest","centclos",150,0.9,0.030336596641358,0.00776769291557394
"1",20,20,7,"highest","centeigen",150,0.1,0.0297656085500823,0.0130755000810453
"1",20,20,7,"highest","centeigen",150,0.9,0.0297869363424403,0.00744295447048558
"1",20,20,7,"highest","cluscoeff",150,0.1,0.030493336174075,0.0128542665622082
"1",20,20,7,"highest","cluscoeff",150,0.9,0.0302700951410696,0.00739364575816676
"1",20,20,7,"highest","degree",150,0.1,0.0299917630847295,0.0130016591495083
"1",20,20,7,"highest","degree",150,0.9,0.0291279779138218,0.00741239126685955
"1",20,20,7,"lowest","centbet",150,0.1,0.0298341403609394,0.0128178442766986
"1",20,20,7,"lowest","centbet",150,0.9,0.0307689540895166,0.00808373664671172
"1",20,20,7,"lowest","centclos",150,0.1,0.0305317940991098,0.0128870817739605
"1",20,20,7,"lowest","centclos",150,0.9,0.02988193942614,0.00746064759904635
"1",20,20,7,"lowest","centeigen",150,0.1,0.0302664459604975,0.0133021776469088
"1",20,20,7,"lowest","centeigen",150,0.9,0.0301833233152912,0.00718766480532699
"1",20,20,7,"lowest","cluscoeff",150,0.1,0.0297938365291014,0.0125461756521438
"1",20,20,7,"lowest","cluscoeff",150,0.9,0.0299813400333933,0.00730055707552101
"1",20,20,7,"lowest","degree",150,0.1,0.0310711320281401,0.0131636673143765
"1",20,20,7,"lowest","degree",150,0.9,0.0312392735511029,0.0074148793243415
"1",20,20,7,"random","none",150,0.1,0.0295471449124876,0.0127969922592352
"1",20,20,7,"random","none",150,0.9,0.030006619568005,0.0076507511686281
"10",0,0,NA,"none","none",150,0.1,0.104011409272992,0.0360812861372728
"10",0,0,NA,"none","none",150,0.9,0.101509442040339,0.0205235875145058
"10",0,20,7,"highest","centbet",150,0.1,0.0797318654284668,0.0314169274511552
"10",0,20,7,"highest","centbet",150,0.9,0.0764017697794493,0.0160993340057468
"10",0,20,7,"highest","centclos",150,0.1,0.0827776065586215,0.035187269697069
"10",0,20,7,"highest","centclos",150,0.9,0.0764202879941872,0.0171782343702042
"10",0,20,7,"highest","centeigen",150,0.1,0.0837392995319396,0.0341243190682442
"10",0,20,7,"highest","centeigen",150,0.9,0.0768890639738489,0.0165561123758908
"10",0,20,7,"highest","cluscoeff",150,0.1,0.0830510977435023,0.0317106137320888
"10",0,20,7,"highest","cluscoeff",150,0.9,0.0829215184760411,0.0181031877279552
"10",0,20,7,"highest","degree",150,0.1,0.079419961727562,0.0298569488382727
"10",0,20,7,"highest","degree",150,0.9,0.0758418341000601,0.0149027037045862
"10",0,20,7,"lowest","centbet",150,0.1,0.0821758555773908,0.0300679950029833
"10",0,20,7,"lowest","centbet",150,0.9,0.0851475559933595,0.0176750138732245
"10",0,20,7,"lowest","centclos",150,0.1,0.0851870542638483,0.0345525079717031
"10",0,20,7,"lowest","centclos",150,0.9,0.0864418301390355,0.017844360943979
"10",0,20,7,"lowest","centeigen",150,0.1,0.0867172470086927,0.0348908294035156
"10",0,20,7,"lowest","centeigen",150,0.9,0.0870127047480404,0.0183713625327945
"10",0,20,7,"lowest","cluscoeff",150,0.1,0.0826514933057939,0.033217445184402
"10",0,20,7,"lowest","cluscoeff",150,0.9,0.0810919032054151,0.0167233566443442
"10",0,20,7,"lowest","degree",150,0.1,0.0831448838523769,0.0312552598050394
"10",0,20,7,"lowest","degree",150,0.9,0.0856902286577025,0.0173776380073734
"10",0,20,7,"random","none",150,0.1,0.0825666774193845,0.030995997740823
"10",0,20,7,"random","none",150,0.9,0.0805681496774846,0.0167112735594088
"10",5,0,NA,"none","none",150,0.1,0.0692729398109234,0.026848686312588
"10",5,0,NA,"none","none",150,0.9,0.0663689723814355,0.0143988479137192
"10",5,20,7,"highest","centbet",150,0.1,0.0554529346201605,0.0226187740258943
"10",5,20,7,"highest","centbet",150,0.9,0.0532487847938282,0.0128889986199268
