"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
1,50,0.0253333333333333,3.79020408163265,0.06,0.432518225536273,-0.0202873313016978,0,2.48,"small","unknown",0.0145694644460794,2.25682858630887,0.0255914442894221,2.25700655107925,0.0254495101691302,7450,4664.9365111501,0.160062821565565,0.020304946426701,5.49309807418354,0.234314680560183,6.24,1.89047019310552,0.0239715957270195,0.0197965273492719
2,50,0.0213333333333333,3.99265306122449,0.06,0.524722079445859,-0.0436438762993092,0,2.44,"small","unknown",0.0127963523442439,2.2558365676839,0.0209392711866962,2.25601772902009,0.0208211238188906,7330,5040.40814673914,0.161167644423683,0.0254833822687589,5.57453464073691,0.232317964925237,5.12,2.2282050980966,0.0217856563625968,0.0221689765178912
3,50,0.0219047619047619,3.99428571428571,0.06,0.606387249809424,-0.198199788210378,0,2.48,"small","unknown",0.0133602748078495,2.26516392746377,0.0230457125456234,2.26529434183186,0.0229425879227793,7450,4295.98768667714,0.150989416528518,0.0195949550251495,5.67092514053093,0.226737859548433,7.4,2.40747136376467,0.0228068705018348,0.0159449262198769
4,50,0.0233333333333333,4.01877551020408,0.06,0.543011209963291,-0.0730042656916515,0,2.48,"small","unknown",0.0128131195509773,2.26517583804206,0.0259740441349117,2.26532314053363,0.0258312330605538,7450,4253.01813601895,0.144696438157403,0.0189951063542076,5.69651748571154,0.19100902482225,6.94,2.61401247596292,0.0222670747288198,0.0163279484784835
5,50,0.006,4.02775510204082,0.06,0.608582810156262,-0.175878618981267,0,2.48,"small","unknown",0.0183262334141155,2.23614728111467,0.0325211928159419,2.23640175016699,0.0323526520015067,7450,4704.14493737563,0.158747940801265,0.0207131239825851,5.2722912716387,0.248873804790663,4.48,3.07882829554839,0.0266089718449668,0.0249248010100133
6,50,0.00895238095238095,4.03265306122449,0.06,0.594156224853602,-0.199700662818045,0,2.48,"small","unknown",0.0109331697033018,2.23827559484645,0.0176319656150826,2.23850041430717,0.0175438713064582,7450,4209.60999696297,0.161175710513655,0.0146617362037104,5.1939816270202,0.19355951155581,4.8,2.94160861171057,0.0201202116804381,0.0302893452712968
7,50,0.0507142857142857,4.05877551020408,0.06,0.509779319708239,-0.17625723652089,0,2.48,"small","unknown",0.0242434697342219,2.21715355595182,0.0294498867760968,2.21746853804437,0.0292983355906576,7450,4969.95051919688,0.193549999115561,0.0286682878694684,5.58953904612685,0.188794566627653,6.52,2.74969386051077,0.0303159307957061,0.0302101990563842
8,50,0.0246666666666667,4.08897959183673,0.06,0.522834623060489,-0.0549852341442835,0,2.48,"small","unknown",0.0133960719633778,2.23680156410224,0.0223971319453096,2.23702061526832,0.0222899554608214,7450,3892.22144219751,0.170287353436308,0.0284178553709635,5.52526380057033,0.210244744597327,5.1,1.78714228617097,0.02302777674352,0.0302357742500511
9,50,0.0113333333333333,4.08897959183673,0.06,0.535755683114336,-0.00431261175975593,0,2.48,"small","unknown",0.013494505306412,2.26832765318649,0.0194004712693008,2.26845492728683,0.0192988828343413,7450,4253.01813601895,0.148682605687055,0.0210189485091257,5.37228006541146,0.185121931530133,3.94,2.81693131631148,0.0231444858894254,0.0130030578509823
10,50,0.0466666666666667,4.10285714285714,0.06,0.523116379503726,-0.110631945596285,0,2.48,"small","unknown",0.0126812919344979,2.24932017400743,0.0161760084910188,2.24952081793946,0.0160580445207197,7450,4781.59737633646,0.165179037212777,0.0172535266228948,5.69662357863933,0.127793008150005,6.12,2.34425045677326,0.0220836264115016,0.0253487751575314
11,50,0.0536190476190476,4.10530612244898,0.06,0.586313107446846,-0.134221222866038,0,2.44,"small","unknown",0.0239302087143181,2.23509502516586,0.0332996808173446,2.23535682667047,0.033131046956846,7330,4622.21786150152,0.175145086940073,0.0410589829857872,5.75653676916707,0.246006203291647,6.52,2.71984393309766,0.0302521228668449,0.0222245659685563
