"","pathlength","neighbors","clustering","assortativity","exponent","size","network_type"
"path_small"," 3.392992"," 2.000000"," 0.000000","-0.310182"," 2.783516","50.000000","Scalefree"
"path_high"," 4.9824327"," 2.0000000"," 0.0000000","-0.3068284"," 2.7705003","50.0000000","Scalefree"
"ass_small"," 3.9980327"," 2.0000000"," 0.0000000","-0.4584237"," 2.7814262","50.0000000","Scalefree"
"ass_high"," 4.0088082"," 2.0000000"," 0.0000000","-0.1753525"," 2.7856402","50.0000000","Scalefree"
"exp_small"," 4.0036122"," 2.0000000"," 0.0000000","-0.2662336"," 2.6100693","50.0000000","Scalefree"
"exp_high"," 3.9889551"," 2.0000000"," 0.0000000","-0.2615309"," 3.0679703","50.0000000","Scalefree"
"size_small"," 4.4288122"," 2.0000000"," 0.0000000","-0.2983585"," 2.8454188","50.0000000","Scalefree"
"size_high","  4.4398747","  2.0000000","  0.0000000"," -0.2902309","  2.8549483","100.0000000","Scalefree"
"diff_path"," 1.589440816"," 0.000000000"," 0.000000000"," 0.003353569","-0.013016095"," 0.000000000","Scalefree"
"diff_ass","0.010775510","0.000000000","0.000000000","0.283071168","0.004213939","0.000000000","Scalefree"
"diff_exp","-0.014657143"," 0.000000000"," 0.000000000"," 0.004702631"," 0.457901009"," 0.000000000","Scalefree"
"diff_size"," 0.011062503"," 0.000000000"," 0.000000000"," 0.008127637"," 0.009529464","50.000000000","Scalefree"
"path_small_ran"," 4.46114286"," 2.45940000"," 0.03231881","-0.09468111",NA,"50.00000000","Random"
"path_high_ran"," 4.59880408"," 2.45620000"," 0.03474333","-0.09262829",NA,"50.00000000","Random"
"neigh_small"," 1.78535102","12.00720000"," 0.24403303"," 0.01169806",NA,"50.00000000","Random"
"neigh_high"," 1.77751020","12.64200000"," 0.25264398"," 0.02634849",NA,"50.00000000","Random"
"diff_path_ran"," 0.137661224","-0.003200000"," 0.002424524"," 0.002052821",NA," 0.000000000","Random"
"diff_neigh","-0.007840816"," 0.634800000"," 0.008610948"," 0.014650436",NA," 0.000000000","Random"
"clus_small","  1.67785235"," 48.00000000","  0.31913160"," -0.01517754",NA,"150.00000000","Small-world"
"clus_high","  1.682726174"," 48.000000000","  0.582088113"," -0.004197255",NA,"150.000000000","Small-world"
"diff_clus","0.004873826","0.000000000","0.262956515","0.010980285",NA,"0.000000000","Small-world"
