"utterance","init_lang_exp","percent_bias","utt_biased","level_bias","metric_biased","size_net","mean_cond","std_cond","network_type","rewire"
1,"Without",0,NA,"None","No biased agents",150,0.100411674771838,0.0416550514591888,"Scalefree",NA
1,"Without",20,7,"Highest","Betweenness c.",150,0.0711804589981883,0.0314624085252361,"Scalefree",NA
1,"Without",20,7,"Highest","Closeness c.",150,0.0759763661329368,0.0368149421140604,"Scalefree",NA
1,"Without",20,7,"Highest","Eigenvector c.",150,0.0775131017469757,0.0399016954529352,"Scalefree",NA
1,"Without",20,7,"Highest","Clustering",150,0.0816831741756319,0.0373564021090428,"Scalefree",NA
1,"Without",20,7,"Highest","Degree",150,0.0695683226140438,0.0305523019699678,"Scalefree",NA
1,"Without",20,7,"Lowest","Betweenness c.",150,0.0858857470598427,0.0382895200152593,"Scalefree",NA
1,"Without",20,7,"Lowest","Closeness c.",150,0.0836523723351356,0.0400022171817567,"Scalefree",NA
1,"Without",20,7,"Lowest","Eigenvector c.",150,0.0864680101866337,0.0403670447324503,"Scalefree",NA
1,"Without",20,7,"Lowest","Clustering",150,0.0846568824031053,0.0363036217272099,"Scalefree",NA
1,"Without",20,7,"Lowest","Degree",150,0.0855372196580814,0.0370519667060048,"Scalefree",NA
1,"Without",20,7,"Random","No biased agents",150,0.0796698083372731,0.0356867058698114,"Scalefree",NA
1,"With (weak)",0,NA,"None","No biased agents",150,0.0660905116460644,0.0301028632067636,"Scalefree",NA
1,"With (weak)",20,7,"Highest","Betweenness c.",150,0.0507588179545547,0.023068371208632,"Scalefree",NA
1,"With (weak)",20,7,"Highest","Closeness c.",150,0.0536904541379953,0.0263582231301273,"Scalefree",NA
1,"With (weak)",20,7,"Highest","Eigenvector c.",150,0.0542768022433102,0.0274530196377728,"Scalefree",NA
1,"With (weak)",20,7,"Highest","Clustering",150,0.0572447346915636,0.0252317507974677,"Scalefree",NA
1,"With (weak)",20,7,"Highest","Degree",150,0.0507461428013919,0.0216398397567444,"Scalefree",NA
1,"With (weak)",20,7,"Lowest","Betweenness c.",150,0.0582313816181597,0.0262970859354612,"Scalefree",NA
1,"With (weak)",20,7,"Lowest","Closeness c.",150,0.0603390108971545,0.0277676705328113,"Scalefree",NA
1,"With (weak)",20,7,"Lowest","Eigenvector c.",150,0.0597998455435409,0.029120789806695,"Scalefree",NA
1,"With (weak)",20,7,"Lowest","Clustering",150,0.0541804784262108,0.025461903220855,"Scalefree",NA
1,"With (weak)",20,7,"Lowest","Degree",150,0.0582668999715082,0.0275709830663233,"Scalefree",NA
1,"With (weak)",20,7,"Random","No biased agents",150,0.0575315679893093,0.0277001146639304,"Scalefree",NA
